Team,Year,Player Name,Player Position
arizona-cardinals,2021,Robert Alford,"<div class=""td w10 rostercell_pos hidden-xs"">DB</div>"
arizona-cardinals,2021,Zach Allen,"<div class=""td w10 rostercell_pos hidden-xs"">DE</div>"
arizona-cardinals,2021,Budda Baker,"<div class=""td w10 rostercell_pos hidden-xs"">DB</div>"
arizona-cardinals,2021,Chris Banjo,"<div class=""td w10 rostercell_pos hidden-xs"">DB</div>"
arizona-cardinals,2021,Kelvin Beachum,"<div class=""td w10 rostercell_pos hidden-xs"">OT</div>"
arizona-cardinals,2021,Eno Benjamin,"<div class=""td w10 rostercell_pos hidden-xs"">RB</div>"
arizona-cardinals,2021,Breon Borders,"<div class=""td w10 rostercell_pos hidden-xs"">DB</div>"
arizona-cardinals,2021,Aaron Brewer,"<div class=""td w10 rostercell_pos hidden-xs"">LS</div>"
arizona-cardinals,2021,Beau Brinkley,"<div class=""td w10 rostercell_pos hidden-xs"">LS</div>"
arizona-cardinals,2021,Zaven Collins,"<div class=""td w10 rostercell_pos hidden-xs"">LB</div>"
arizona-cardinals,2021,James Conner,"<div class=""td w10 rostercell_pos hidden-xs"">RB</div>"
arizona-cardinals,2021,Darrell Daniels,"<div class=""td w10 rostercell_pos hidden-xs"">TE</div>"
arizona-cardinals,2021,Victor Dimukeje,"<div class=""td w10 rostercell_pos hidden-xs"">LB</div>"
arizona-cardinals,2021,Michael Dogbe,"<div class=""td w10 rostercell_pos hidden-xs"">DE</div>"
arizona-cardinals,2021,Greg Dortch,"<div class=""td w10 rostercell_pos hidden-xs"">WR</div>"
arizona-cardinals,2021,Chase Edmonds,"<div class=""td w10 rostercell_pos hidden-xs"">RB</div>"
arizona-cardinals,2021,Zach Ertz,"<div class=""td w10 rostercell_pos hidden-xs"">TE</div>"
arizona-cardinals,2021,Tavien Feaster,"<div class=""td w10 rostercell_pos hidden-xs"">RB</div>"
arizona-cardinals,2021,Kylie Fitts,"<div class=""td w10 rostercell_pos hidden-xs"">LB</div>"
arizona-cardinals,2021,Leki Fotu,"<div class=""td w10 rostercell_pos hidden-xs"">DT</div>"
arizona-cardinals,2021,Max Garcia,"<div class=""td w10 rostercell_pos hidden-xs"">OG</div>"
arizona-cardinals,2021,Dennis Gardeck,"<div class=""td w10 rostercell_pos hidden-xs"">LB</div>"
arizona-cardinals,2021,Markus Golden,"<div class=""td w10 rostercell_pos hidden-xs"">LB</div>"
arizona-cardinals,2021,A.J. Green,"<div class=""td w10 rostercell_pos hidden-xs"">WR</div>"
arizona-cardinals,2021,Antonio Hamilton,"<div class=""td w10 rostercell_pos hidden-xs"">DB</div>"
arizona-cardinals,2021,Sean Harlow,"<div class=""td w10 rostercell_pos hidden-xs"">OG</div>"
arizona-cardinals,2021,Demetrius Harris,"<div class=""td w10 rostercell_pos hidden-xs"">TE</div>"
arizona-cardinals,2021,Marcus Henry,"<div class=""td w10 rostercell_pos hidden-xs"">C</div>"
arizona-cardinals,2021,Jordan Hicks,"<div class=""td w10 rostercell_pos hidden-xs"">LB</div>"
arizona-cardinals,2021,DeAndre Hopkins,"<div class=""td w10 rostercell_pos hidden-xs"">WR</div>"
arizona-cardinals,2021,Rodney Hudson,"<div class=""td w10 rostercell_pos hidden-xs"">C</div>"
arizona-cardinals,2021,D.J. Humphries,"<div class=""td w10 rostercell_pos hidden-xs"">OT</div>"
arizona-cardinals,2021,Andy Isabella,"<div class=""td w10 rostercell_pos hidden-xs"">WR</div>"
arizona-cardinals,2021,Danny Isidora,"<div class=""td w10 rostercell_pos hidden-xs"">OG</div>"
arizona-cardinals,2021,Chandler Jones,"<div class=""td w10 rostercell_pos hidden-xs"">DE</div>"
arizona-cardinals,2021,Josh Jones,"<div class=""td w10 rostercell_pos hidden-xs"">OT</div>"
arizona-cardinals,2021,Devon Kennard,"<div class=""td w10 rostercell_pos hidden-xs"">LB</div>"
arizona-cardinals,2021,Zach Kerr,"<div class=""td w10 rostercell_pos hidden-xs"">DT</div>"
arizona-cardinals,2021,Christian Kirk,"<div class=""td w10 rostercell_pos hidden-xs"">WR</div>"
arizona-cardinals,2021,Rashard Lawrence,"<div class=""td w10 rostercell_pos hidden-xs"">DT</div>"
arizona-cardinals,2021,Jonathan Ledbetter,"<div class=""td w10 rostercell_pos hidden-xs"">DE</div>"
arizona-cardinals,2021,Andy Lee,"<div class=""td w10 rostercell_pos hidden-xs"">P</div>"
arizona-cardinals,2021,Koda Martin,"<div class=""td w10 rostercell_pos hidden-xs"">OG</div>"
arizona-cardinals,2021,Josh Mauro,"<div class=""td w10 rostercell_pos hidden-xs"">DT</div>"
arizona-cardinals,2021,Colt McCoy,"<div class=""td w10 rostercell_pos hidden-xs"">QB</div>"
arizona-cardinals,2021,Trace McSorley,"<div class=""td w10 rostercell_pos hidden-xs"">QB</div>"
arizona-cardinals,2021,Joshua Miles,"<div class=""td w10 rostercell_pos hidden-xs"">OT</div>"
arizona-cardinals,2021,Rondale Moore,"<div class=""td w10 rostercell_pos hidden-xs"">WR</div>"
arizona-cardinals,2021,Byron Murphy,"<div class=""td w10 rostercell_pos hidden-xs"">DB</div>"
arizona-cardinals,2021,Justin Murray,"<div class=""td w10 rostercell_pos hidden-xs"">OT</div>"
arizona-cardinals,2021,Kyler Murray,"<div class=""td w10 rostercell_pos hidden-xs"">QB</div>"
arizona-cardinals,2021,Corey Peters,"<div class=""td w10 rostercell_pos hidden-xs"">DT</div>"
arizona-cardinals,2021,Kevin Peterson,"<div class=""td w10 rostercell_pos hidden-xs"">DB</div>"
arizona-cardinals,2021,Jordan Phillips,"<div class=""td w10 rostercell_pos hidden-xs"">DT</div>"
arizona-cardinals,2021,Matt Prater,"<div class=""td w10 rostercell_pos hidden-xs"">K</div>"
arizona-cardinals,2021,Justin Pugh,"<div class=""td w10 rostercell_pos hidden-xs"">OG</div>"
arizona-cardinals,2021,Isaiah Simmons,"<div class=""td w10 rostercell_pos hidden-xs"">LB</div>"
arizona-cardinals,2021,Eric Smith,"<div class=""td w10 rostercell_pos hidden-xs"">OT</div>"
arizona-cardinals,2021,Chris Streveler,"<div class=""td w10 rostercell_pos hidden-xs"">QB</div>"
arizona-cardinals,2021,Deionte Thompson,"<div class=""td w10 rostercell_pos hidden-xs"">DB</div>"
arizona-cardinals,2021,Jalen Thompson,"<div class=""td w10 rostercell_pos hidden-xs"">DB</div>"
arizona-cardinals,2021,Ross Travis,"<div class=""td w10 rostercell_pos hidden-xs"">TE</div>"
arizona-cardinals,2021,Ezekiel Turner,"<div class=""td w10 rostercell_pos hidden-xs"">LB</div>"
arizona-cardinals,2021,Tanner Vallejo,"<div class=""td w10 rostercell_pos hidden-xs"">LB</div>"
arizona-cardinals,2021,Joe Walker,"<div class=""td w10 rostercell_pos hidden-xs"">LB</div>"
arizona-cardinals,2021,Jonathan Ward,"<div class=""td w10 rostercell_pos hidden-xs"">RB</div>"
arizona-cardinals,2021,Charles Washington,"<div class=""td w10 rostercell_pos hidden-xs"">DB</div>"
arizona-cardinals,2021,J.J. Watt,"<div class=""td w10 rostercell_pos hidden-xs"">DE</div>"
